,name,price,rating
127,U&i Kingdom Series 8W Wireless Speaker with 10 Hours Ba...,449,3.7
128,SHOPLINE SP-T-113-SPKR1 9 W Bluetooth Speaker,349,3.7
129,boAt Aavante Bar 900 30 W Bluetooth Soundbar,"3,299",4
130,Classic CESR-25000CL APEX TOWER 1st 500 W Bluetooth Tow...,"3,689",3.8
131,U&i Kingdom Series 8W Wireless Speaker with 10 Hours Ba...,449,3.7
132,F&D 380X 54 W Bluetooth Home Theatre,"3,999",4.2
133,boAt Stone Cuboid with upto 5.5 Hours Playback Time 5 W...,"1,099",4
134,"Borneo A005 High Power Sound Blast, Mini, Thunder Sound...",499,4.3
135,SAMSUNG HW-T42E/XL Dolby Digital 150 W Bluetooth Soundb...,"8,199",4.1
136,ZEBRONICS Zeb-Juke Bar 7400 Pro 5.1 180 W Bluetooth Sou...,"9,999",4.2
137,"ZSIV A006 USB Charging, Portable, BASS drum, TF card, F...",699,3.9
138,SONY HT-S20R Dolby Digital 400 W Bluetooth Soundbar,"17,990",4.4
139,U&i Sumo Series with Karaoke mic and 6 hours Battery Ba...,859,4
140,boAt Rugby 10 W Portable Bluetooth Speaker,"1,399",4.2
141,SAMSUNG HW-A45E/XL With Wireless Subwoofer 300 W Blueto...,"13,490",4.1
142,saregama Carvaan Mini SCM02/SCM04 3 W Bluetooth Speaker,"2,099",4.3
143,Aroma Studio 1 Pro High Sound Quality With 6 Hours Play...,499,4
144,U&i Kingdom Series 8W Wireless Speaker with 10 Hours Ba...,449,3.7
145,Treadmill Multipurpose Mini Home Theatre Super Bass |3D...,445,4.1
146,MOTOROLA AmphisoundX with HDMI Arc 100 W Bluetooth Soun...,"3,499",4.3
147,U&i Kingdom Series 8W Wireless Speaker with 10 Hours Ba...,449,3.9
148,ZEBRONICS ZEB - PEBBLE NEW Laptop/Desktop Speaker,579,4.1
149,Blaupunkt SBA20F 16 W Bluetooth Soundbar,"1,699",4
150,Treadmill New features Popular Arrival Wireless Subwoof...,505,3.8
151,MZ TG-113 (PORTABLE BLUETOOTH SPEAKER) Dynamic Thunder ...,399,3.9
152,TEQIR 005 Big Sound Lightweight Speaker Portable Blueto...,449,0
153,ZEBRONICS Zeb-Juke Bar 3850 PRO DOLBY ATMOS 170 W Bluet...,"8,999",4
154,MOTOROLA AmphisoundX with HDMI Arc 120 W Bluetooth Home...,"8,999",4.2
155,boAt Stone Grenade 5 W Portable Bluetooth Speaker,"1,199",4.2
156,Boult Audio BassBox Arc 5 W Bluetooth Speaker,999,3.7
157,INFINITY by Harman Fuze Pint 2.5 W Bluetooth Speaker,799,4.2
