,name,price,discount
250,Court Royale 2 Next Nature Sneakers For Men,"₹2,386",40% off
251,Rider-01 White Running Shoes for Men I Sport Shoes for ...,"₹1,148",42% off
252,"Skypy-31 Walking Shoes,Training Shoes,Sneakers,Loafers,...",₹498,37% off
253,SHP3008 Loafers For Men,₹629,62% off
254,Walking Shoes For Women,₹389,61% off
255,Boots For Men,₹499,50% off
256,Oxygen Running Shoes For Men,₹394,60% off
257,Long OfficeWear Corporate Casuals For Men,₹394,60% off
258,Ozone-01 Grey Running Shoes for Men I Sport Shoes for B...,"₹1,099",45% off
259,Hustle V2 Wns Running Shoes For Women,"₹1,139",71% off
260,Crystal-13 Black sky Sports Transparent Sole Technology...,"₹1,349",41% off
261,GEL CONTEND 4B+ Running Shoes For Men,"₹1,874",46% off
262,VERTIGO BLK RUNNING SHOES For MEN 7 Running Shoes For M...,₹749,70% off
263,Walking Shoes For Women,₹412,58% off
264,"Waterproof-13 Gray Sports,Casual,Walking,Gym,Training, ...",₹599,53% off
265,ORIGINE Running Shoes For Men,₹859,33% off
266,"Mens Stylish Causal, Partywear, Latest Loafers For Men",₹289,71% off
267,For Men,₹269,86% off
268,"Skypy-31 Walking Shoes,Training Shoes,Sneakers,Loafers,...",₹448,43% off
269,Aadi Gym/Walking/Sneaker Casuals For Men,₹399,60% off
270,Casuals For Men,₹443,77% off
271,Mesh Sports Walking Shoes For Men,₹249,50% off
272,Latest Collection-1216 Stylish Casual Sports Sneakers F...,₹159,68% off
273,Cute sports shoes for women | Running shoes for girls s...,₹426,34% off
274,"Innova-01 Grey Sports,Walking,Training, Running Shoes F...",₹949,52% off
275,"Plasma-05 White Sports,Walking,Casual, Running Shoes Fo...",₹549,56% off
276,Edge Identity Running Shoes For Men,"₹1,327",48% off
277,Synthetic Leather Casual Office Use Wedding Formal Shoe...,₹354,64% off
278,"Sports Shoes,Running Shoes, Lace Up, Gym Shoes, Top Rat...",₹249,50% off
279,Adistound M Running Shoes For Men,"₹1,434",46% off
280,Sprintfit Running Shoes For Men,"₹1,327",48% off
281,Zelt Sl 2.0 M Running Shoes For Men,"₹1,918",60% off
282,Clear Factor M Running Shoes For Men,"₹1,318",47% off
283,"Spider-01 White Sports,Casual,Walking,Gym, Running Shoe...","₹1,149",42% off
284,Running Shoes For Men,₹997,63% off
285,EMERGO RUNNER Running Shoes For Men,"₹1,433",48% off
286,Running Shoes For Men,₹349,82% off
287,Crystal-13 Black sky Sports Transparent Sole Technology...,"₹1,348",41% off
288,Waterproof-03 sports shoes for men | Latest Stylish Cas...,₹548,45% off
289,REEBOK CANTON RUNNER Running Shoes For Men,"₹1,677",53% off
290,Casuals For Men,"₹1,837",59% off
291,Running Shoes For Men,₹249,75% off
292,BOUNDER - VERKONA Casuals For Men,"₹2,821",51% off
293,Star Casuals For Men,"₹1,029",68% off
