,name,price,discount
155,MAYBELLINE NEW YORK Sara's Favorite Sensational Liquid ...,₹718,30% off
156,SWISS BEAUTY Non_Transfer Matte Lipstick (SB-209-18),₹203,18% off
157,"MAYBELLINE NEW YORK Sensational Liquid Matte Lipstick, ...",₹306,12% off
158,MISS ROSE Ruby Lash,₹195,51% off
159,"Renee Black Magic PH Stick - Madness, 3g",₹469,6% off
160,MAYBELLINE NEW YORK Color Sensational Creamy Matte Lips...,₹268,10% off
161,Bay Watch Sensational Enrich Forever HD Creamy Matte Li...,₹199,33% off
162,EOD Soft Matte Kiss Proof Vegan Made in India Liquid Li...,₹459,29% off
163,"Renee Fab 5 (5 in 1 Lipstick), 7.5g",₹569,24% off
164,MISS ROSE 2 in 1 Lipstick & Lipliner 05 Plum Lush ,₹195,51% off
165,Lakmé Absolute Matte Melt Liquid Lip Color,₹380,45% off
166,SUGAR Cosmetics Matte As Hell Crayon Lipstick,₹799,0
167,"Renee Black Magic PH Stick - Madness, 3g",₹469,6% off
168,"BIOTIQUE Magicolor Lipstick, Give Me A Rose",₹93,25% off
169,MAYBELLINE NEW YORK Sensational Liquid Matte Minis 4 sh...,₹396,0
170,MI FASHION Liquid Matte Lipsticks |Waterproof|Smudge Pr...,₹459,23% off
171,SUGAR Cosmetics Smudge Me Not Liquid Lipstick,₹499,0
172,Lakmé 9TO5 Primer + Matte Lip Color Iconic Red,₹503,4% off
173,myglamm LIT Liquid Matte Lipstick-Fire-3ml,₹316,20% off
174,Just Herbs Ayurvedic Creamy Matte Half-Size Lipstick Ki...,₹671,25% off
175,MAYBELLINE NEW YORK Sensational Liquid Matte Lipstick,₹266,23% off
176,Just Herbs Ayurvedic Creamy Matte Deep Red Lipstick for...,₹558,25% off
177,myglamm LIT Liquid Matte Lipstick-Dank-3ml,₹316,20% off
178,CaraMia by Flipkart Kiss of Love D,₹189,62% off
179,Renee Stay With Me Non Transfer Matte Liquid Lip Color ...,₹499,16% off
180,myglamm Manish Malhotra Beauty Hi-Shine Lipstick,₹665,30% off
181,SWISS BEAUTY HD Matte Lipstick (SB-212-01),₹197,34% off
182,Lakmé Limited Edition Lip Color,₹399,0
183,MICIO Lucious Lips,₹120,55% off
184,CaraMia by Flipkart Kiss of Love B,₹189,62% off
185,BLUE HEAVEN Powder Matte,₹135,18% off
186,MI FASHION Liquid Matte Lipstick Combo Non Stick on Cup...,₹459,23% off
187,AngelX Crazy Matte Me Liquid Lipstick,₹149,25% off
188,SWISS BEAUTY Non_Transfer Matte Lipstick (SB-209-06),₹199,20% off
189,MI FASHION Professional Makeup Matte Liquid Lipstick Wa...,₹459,23% off
190,"COLOR GEL High Definition Waterproof, liquid Matte Lips...",₹199,33% off
191,MAYBELLINE NEW YORK Color Sensational Creamy Matte Lips...,₹210,29% off
192,"Renee Talk Matte Crayon - Magenta Glaze, Hydrating & Lo...",₹569,5% off
193,myglamm HI-SHINE LIPSTICK -VINTAGE WINE,₹665,30% off
194,EOD Soft Matte Kiss Proof Vegan Made in India Liquid Li...,₹459,29% off
195,Seven Seas Lip Duo 2 In 1 Liquid Lipstick with Lipstick...,₹170,32% off
196,"ELLE 18 Color, Pop Matte Lip Color, Deep Pink+Rose Day+...",₹470,0
197,Just Herbs Ayurvedic Herb Enriched Rose Brown Matte Lip...,₹371,25% off
198,CaraMia by Flipkart Kiss of Love A,₹169,0
199,"MAYBELLINE NEW YORK Sensational Liquid Matte Lipstick, ...",₹312,10% off
200,"MAYBELLINE NEW YORK Sensational Liquid Matte Lipstick, ...",₹349,0
201,MamaEarth Naturally Matte Lip Serum - Matte Liquid Lips...,₹484,19% off
202,Sh.Huda Forever Matte Me Liquid Beauty Lipstick Set Of ...,₹329,52% off
203,"Renee Fab 5 (5 in 1 Lipstick), 7.5g",₹569,24% off
204,ForSure Golden Velvet Matte Lipstick,₹316,78% off
205,MAYBELLINE NEW YORK Color Sensational Creamy Matte Lips...,₹268,10% off
206,RONZILLE Mini Bullet Lipstick Set of 12 Shade B,₹299,70% off
207,"Renee Black Magic PH Stick - Madness, 3g",₹469,6% off
208,Lakmé 9TO5 Primer + Matte Lip Color Brown Walnut,₹497,5% off
209,EOD Elite Collection Long Lasting Waterproof 100% Vegan...,₹459,29% off
210,"ELLE 18 Color, Pop Matte Lip Color, Rockstar Red+Pink K...",₹455,0
211,SUGAR Cosmetics Smudge Me Not Liquid Lipstick,₹499,0
212,MISS ROSE #35 Passion Lipstick Matte,₹173,42% off
213,NY bae Primer + Matte Confessions of a Lip-a-holic Liqu...,₹180,25% off
214,MamaEarth Naturally Matte Lip Serum - Matte Liquid Lips...,₹484,19% off
215,MAYBELLINE NEW YORK Sensational Liquid Matte Lipstick,₹266,23% off
216,MISS ROSE #31 Belle Lipstick,₹151,49% off
217,ZODAK Retro Matte Lipstick - Ruby Red,₹158,71% off
218,MI FASHION Vocal Matte Liquid Lipstick Combo Set Made i...,₹599,33% off
219,Renee Stay With Me Non Transfer Matte Liquid Lip Color ...,₹499,16% off
220,NY bae Liquid Lipstick - Confessions of a Lip-a-holic,₹195,25% off
221,Renee Check Matte Liquid Lip Color (Pack of 4),₹999,28% off
222,"ELLE 18 Color, Pop Matte Lip Color, Mauve Date+Crazy Re...",₹470,0
223,MICIO Lucious Lips,₹120,55% off
224,"COLORBAR Matte Touch Lipstick Mini, Red MTLM057",₹307,23% off
225,Meilin Non Transfer Matte Lipstick,₹299,14% off
226,MI FASHION Cr�me Matte Lipsticks Set for Professionals ...,₹361,39% off
227,AngelX Crazy Matte Me Liquid Lipstick,₹149,25% off
228,NY bae Primer + Matte Confessions of a Lip-a-holic Liqu...,₹187,24% off
229,MISS ROSE Makeup Professional Lipstick & Liner 2 in 1-3...,₹191,52% off
230,Renee Check Matte Liquid Lip Color - Castle of Nude,₹299,14% off
231,MAYBELLINE NEW YORK Color Sensational Creamy Matte Lips...,₹210,29% off
232,SWISS BEAUTY Lipstic S6-N216,₹173,24% off
233,Just Herbs Ayurvedic Herb Enriched Deep Red Matte Lipst...,₹371,25% off
234,MY TYA Sensational Non Transfer SuperStay Liquid Matte ...,₹348,56% off
235,"MAYBELLINE NEW YORK Sensational Liquid Matte Lipstick, ...",₹312,10% off
236,MISS ROSE Makeup Professional Lipstick & Liner 2 in 1-0...,₹198,50% off
237,L'Oréal Paris Color Riche Moist Matte Lipstick,₹561,25% off
238,LOTUS MAKE - UP Pure Colors,₹248,9% off
